codigo;numeracion;denominacion;precio
2780;6130751-1;#ASH.0001C0000# ACCESORIO SOPORTE REGULACIÓN HOJA;69
2781;6130752-1;#AGH.0001C00MZ# ACCESORIOS CONJUNTO GUIADOR HOJA;82
2782;6130753-1;#PFR.010000000# RUEDA PFR-01 CONCÉNTRICA DIAMETRO 48MM;107
2783;6130754-1;#PFR.040000000# RUEDA PFR-04 EXCÉNTRICA DIAMETRO 33MM;107
2784;6130755-1;#BHT.VF00CT2000900# CORREA ABIERTA T2 PL900;352
2785;6130756-1;#BHT.VF00CT2001000# CORREA ABIERTA T2. PL1000;389
2786;6130757-1;#ASH.0001C0000# ACCESORIOS SOPORTE REGULACION HOJA;69
2787;6130758-1;AEC-VF00.C0000 CONJUNTO ESCUADRA FIJACION;350
2788;6130759-1;#CAM-00CA.00000# CONJUNTO AMARRACABLES;79
2789;6130761-1;#KCE-6000.00000# CONJUNTO CONTACTO ELÉCTRICO D60;134
2790;6130763-1;#KDL-0000.C0000# KIT DESENCLAVAMIENTO MANUAL;325
2791;6130766-1;#PPM-VF00.C0000# POLEA MOTOR VF EJE ESTÁNDAR;155
2792;6130767-1;#ACJ-0000.RI000# CONJUNTO CERROJO DE DESENCLAVAMIENTO APERTURA IZQUIERDA;88
2793;6130768-1;#RCA-0000.000BC# MUELLE TENSOR CABLE SINCRONIZ.;44
2794;6130769-1;#RSK-VF00.C0000# RESORTE GATILLO DE ARRASTRE;49
2795;6130771-1;#AGH-0006.00000# CONJUNTO ACCESORIOS GUIADOR HOJA;138
2796;6130772-1;#DST-00TP.R0000# TOPE GOMA PALANCA DESENCLAVAM.;21
2797;6130773-1;#PFR-0700.00000# RUEDA DE SINCRONIZACIÓN PFR-07;152
2798;6130776-1;#CPE-4000.RD000# CONJUNTO PALANCA ENCLAVAM. AP. DRCH;388
2799;6130779-1;#CPE-4000.RI000# CONJUNTO PALANCA ENCLAVAM. AP. IZQ;388
2800;6130780-1;#CPT-0000.RI000# CONJUNTO PLETINA PORTARUEDAS APERTURA IZQUIERDA;226
2801;6130782-1;#CPT-0000.RD000# CONJUNTO PLETINA PORTARUEDAS AP. DER;226
2802;6130783-1;#CPR# CONJUNTO TENSOR POLEA REENVÍO;327
2803;6130784-1;#CTR# CONJUNTO TOPE RETENEDOR;317
2804;6130785-1;#WCE# CABLEADO ELÉCTRICO;136
2805;6130789-1;#ACJ-0000.RD000# CONJUNTO CERROJO DESENCLAVIENTO APERTURA DERECHA;88
2806;6130790-1;FIELTRO 3201.05.7060;28
2807;6130791-1;FIJACION BRAZO DE TRANSMISION 3201.05.5142;17
2808;6130792-1;REFUERZO TUBO CUADRADO 2C1A055106;56
2809;6130793-1;MUELLE TENSION CABLE 3201.05.3002;4
2810;6130794-1;MUELLE GANCHO APERTURA EMERG.Y ANTENA 3201.05.3006;5
2811;6130797-1;#CDL.VFDMCC200#CONJUNTO PATIN MÓVIL.MODELO 40/10VF-50/11 VF;1424
2812;6130800-1;CABL.LUZ=700 TYP-42/C 3201.05.4001/800;19
2813;6130801-1;CABL.LUZ=700 TYP-42/C 3201.05.4001/2025;41
2814;6130802-1;CABL.LUZ=700 TYP-42/C 3201.05.4001/975;23
2815;6130803-1;CABL.LUZ=800 TYP-02/C 3201.05.4001/3245;58
2816;6130804-1;CABL.LUZ=800 TYP-12/RL 3201.05.4001/1525;42
2817;6130805-1;CABL.LUZ=800 TYP-32/RL 3201.05.4003/1035;32
2818;6130806-1;CABL.LUZ=900 TYP-32/RL 3201.05.4003/1105;34
2819;6130807-1;CABL.LUZ=900 TYP-12/RL 3201.05.4001/1625;40
2820;6130808-1;CABL.LUZ=900 TYP-02/C 3201.05.4001/3605;83
2821;6130809-1;CABL.LUZ=1400 TYP-12RL 3201.05.4001/1955;50
2822;6130810-1;CABL.LUZ=1400 TYP-42/C 3201.05.4001/1205;38
2823;6130811-1;CABL.LUZ=1400 TYP-42/C 3201.05.4001/3905;65
2824;6130814-1;CABLE TRANSMISION PUERTA 62/C 3201.05.4003/965;25
2825;6130830-1;CABL.LUZ=800 TYP-11/RL 3201.05.4001/1575;34
2826;6130831-1;CABL.LUZ=800 TYP-31/RL 3201.05.4003/1095;29
2827;6130832-1;CABL.LUZ=900 TYP-31/RL 3201.05.4003/1205;28
2828;6130833-1;CABL.LUZ=900 TYP-11/RL 3201.05.4001/1805;35
2829;6130834-1;CABL.LUZ=900 TYP-01/C 3201.05.4001/3705;46
2830;6130835-1;CABL.LUZ=1400 TYP-41/C 3201.05.4001/1375;30
2831;6130836-1;CABL.LUZ=1400 TYP-11RL 3201.05.4001/2605;46
2832;6130838-1;CABL.LUZ=1300 TYP-01/C 3201.05.4001/5105;77
2833;6130840-1;CONJUNTO REGULACION PASO LIBRE 10.50.01 FERMATOR;58
2834;6130841-1;TERMINAL BRAZO ACCIONAMIENTO 30.20.03 FERMATOR;25
2835;6130842-1;CABLE SINCRONIZACION 10.70.06 L=3180 FERMATOR;123
2836;6130852-1;TACOS TOPE GOMA S/REF 211002000;6
2837;6130853-1;PLACA DE EMPUJE S/REF 11003000;34
2838;6130857-1;MAC4115PBS00015#CADENA 7 PASOS PBS S/REF 11024000;29
2839;6130858-1;MUELLE RETORNO HOJAS MAC 4115.PBS00006;69
2840;6130859-1;AMORTIGUADOR CIERRE PUERTA ESTANDAR REFERENCIA 540/P/7-12;154
2841;6130881-1;GRAPA FIJACION CRISTAL Y MIRILLA S/REF 11009000;4
2842;6130884-1;TIRADOR 250 MM.S/REF 11001000;65
2843;6132002-1;ENCODER;11
2844;6132003-1;CABLEADO ENCODER;7
2845;6132004-1;PIQON MOTOR CON IMAN;82
2846;6132005-1;TAPA PIQON MOTOR;1
2847;6132006-1;PLACA CIRCUITO ENCODER P.CABINA;22
2848;6132007-1;CONJUNTO ELECT. MACHO;4
2849;6132008-1;CONJUNTO CONTACTO 40;4
2850;6132009-1;EJE PIÑON REENVIO;4
2851;6132010-1;SUBCONJUNTO BASE CORREA;5
2852;6132011-1;CONJUNTO CIRCUITO ELECTRICO VVVF AP.IZDO.OR96.;2170
2853;6132012-1;CONJUNTO CIRCUITO ELECTRICO VVVF AP.DCHA.OR96.;2170
2854;6132013-1;RETENEDOR DE SEGURIDAD;7
2855;6132014-1;EJE RETENEDOR DE SEGURIDAD Y TOPE APERTURA;4
2856;6132015-1;MUELLE RETENEDOR DE SEGURIDAD;1
2857;6132016-1;RUEDA SUPERIOR EJE CONCENTRICO DIAMETRO 56 (FC) PFR-05;4
2858;6132017-1;RUEDA INFERIOR EJE EXCENTRICO DIAMETRO 54 (FC) PFR-06;20
2859;6132018-1;TORNILLO ESPECIAL SOPORTE HOJAS M-8X20;3
2860;6132019-1;RUEDA CABLE DE SINCRONIZACION DIAMETRO 64 (FC) PFR-07;13
2861;6132020-1;MUELLE TENSOR CABLE SINCRONIZACION;1
2862;6132023-1;PUENTE SERIE;7
2863;6132030-1;PATIN MOVIL IZQUIERDO LONG.=520;381
2864;6132031-1;EMISOR FOTOCELULA (CON CABLEADO);19
2865;6132032-1;RECEPTOR FOTOCELULA (CON CABLEADO);19
2866;6132036-1;VARILLA DESENCLAVAMIENTO IZQUIERDO;13
2867;6132038-1;RUEDA CONCENTRICA DIAMETRO 48 (FC) PFR-01;15
2868;6132039-2;RUEDA EXCENTRICA DIAMETRO 33 PFR-15 (FC) PFR-15;13
2869;6132039-1;RUEDA EXCENTRICA DIAMETRO 30 PFR-04 (FC);8
2870;6132040-1;"""""""AMARRACABLES ALUMINIO """"""""MACHO""""""""""""""";1
2871;6132041-1;"""""""AMARRACABLES ALUMINIO """"""""HEMBRA""""""""""""""";1
2872;6132042-1;GOMA TOPE PUERTA CENTRAL ORONA-96 (26*18*8.5 MM);1
2873;6132044-1;PUENTE ELECT.CONTACTO DE ENCLAVAMIENTO PUERTA RELLANO OR96;4
2874;6132045-1;EJE RUEDA DE ARRASTRE;2
2875;6132046-1;TOPE GOMA PARA TORNILLO M-6;1
2876;6132047-1;RUEDA DE SINCRONIZACION DIAMETRO 47 (FC) PFR-08;3
2877;6132048-1;RESORTE SEGURIDAD;4
2878;6132051-1;TOPE PLACA PORTA-RUEDAS PE 20X30;2
2879;6132053-1;CASQUILLO MOTOR;1
2880;6132055-1;SOPORTE FIJACION MUELLE;1
2881;6132056-1;CONTACTO DE SERIE;16
2882;6132062-1;PATIN GUIA;1
2883;6132063-1;EJE FIJACION GUIA INFERIOR;2
2884;6132066-1;MUELLE RETORNO CERROJO IZQUIERDO;1
2885;6132069-1;RUEDA DE ARRASTRE PUERTA RELLANO OR96;3
2886;6132079-1;PATIN GUIA PISADERA ALIGERADA;1
2887;6132082-1;CONTACTO ENCLAVAMIENTO 20.20-04 FERMATOR;14
2888;6132086-1;RESORTE SEGURIDAD CENTRAL 4H RELL. OR-96 PL-700;4
2889;6132088-1;PATIN GUIA INF.PISAD.70 PU.CAB.OR96;3
2890;6132094-1;RESORTE SEGURIDAD CENTRAL 4H RELLANO OR-96 PL-800;9
2891;6132101-1;MUELLE RETORNO CERROJO DERECHO;1
2892;6132102-1;VARILLA DESENCLAVAMIENTO DERECHO;13
2893;6132103-1;PATIN MOVIL DERECHO LONG.=520;381
2894;6132105-1;PATIN ARRASTRE MOVIL P.CABINA CENTRAL 2HOJAS;236
2895;6132110-1;PATIN ARRASTRE MOVIL PCI2,PCC2;144
2896;6132110-2;PATIN ARRASTRE MOVIL PCD2;137
2897;6132111-1;LEVA RETRACTIL INTERIOR P/SEMI.;435
2898;6132113-1;PATIN MOVIL IZQUIERDO APERTURA ANTICIPADA;343
2899;6132114-1;PATIN MOVIL DERECHO APERTURA ANTICIPADA;337
2900;6132115-1;MOTOR 220V.125/40-MOD.VVVF;216
2901;6132116-1;PATIN ARRASTRE MOVIL AP.ANTICIP.P.CAB.CENTRAL 2H.;354
2902;6132117-1;CONJUNTO PATIN MOVIL CENTRAL 4 HOJAS 700/800;585
2903;6132118-1;CONJUNTO PATIN MOVIL APERTURA ANTIC.P.CENTR.4H.700/800;327
2904;6132119-1;FILTRO ELECTROMAGNETICO OPERADOR VVVF3;118
2905;6132120-1;MICROPROCESADOR VERSION TEC3005;164
2906;6132121-1;ETIQUETA ADHESIVA VVVF3 IZQUIERDA Y CENTRAL;3
2907;6132122-1;ETIQUETA ADHESIVA VVVF3 DERECHA;4
2908;6132124-1;EMISOR FOTOCELULA (SIN CABLEADO);18
2909;6132125-1;RECEPTOR FOTOCELULA (SIN CABLEADO);17
2910;6132126-1;CABLEADO FOTOCELULA;228
2911;6132127-1;CDL-OR00CI200 CJTO CDL+CONTACTO MODELO ORONA T2HI;1450
2912;6132127-2;CDL-OR00CD200 CJTO CDL+CONTACTO MODELO ORONA T2HD;1390
2913;6132128-1;CDL-OR00CC200 CJTO CDL+CONTACTO MODELO ORONA C2H;1452
2914;6132130-1;REGLETA DE 15X5 (15 VIAS PASO 5);15
2915;6132131-1;CONJUNTO BIELA Y EJE REFERENCIA DSK.00BAC0000 LONGITUD 38 MM;118
2916;6132131-2;CONJUNTO BIELA Y EJE REFERENCIA DSK.60BAC0000 LONGITUD 70 MM;121
2917;6132131-3;CONJUNTO BIELA Y EJE REF.DSK.66BAC0000 EJES 66 Y 94;218
2918;6132132-1;GATILLO DE ARRASTRE REFERENCIA 90.16-02;23
2919;6132133-1;EJE GATILLO DE ARRASTRE REFERENCIA 90.16-03;14
2920;6132134-1;MUELLE EJE GATILLO DE ARRASTRE RSK.VF00C0000;23
2921;6132135-1;TOPE DE GOMA DE LA BIELA REFERENCIA 90.16-05;27
2922;6132137-1;PATIN DE ARRASTRE REFERENCIA 90.16-07;61
2923;6132139-1;SUBCONJUNTO PALANCA PLETINA PORTA-RUEDAS 4H.;188
2924;6132148-1;PATIN ALUMINIO C2H-T2H IZQUIERDA;525
2925;6132148-2;PATIN ALUMINIO T2H DERECHA.;525
2926;6132149-1;PATIN CHAPA C4H;524
2927;6132150-1;CONJUNTO CIRCUITO ELECTRICO FERMATOR;1201
2928;6132151-1;CONJUNTO CIRCUITO ELECTRICO FERMATOR VVVF4 DERECHA;1189
2929;6132159-1;PATIN DE ARRASTRE MOVIL TELES.2H.DCHA.;236
2930;6132160-1;PATIN DE ARRASTRE MOVIL TELES.2H.DCHA.ANTICIP.;350
2931;6132161-1;RESORTE SEGURIDAD PL=1100/1200 T2H;10
2932;6132162-1;PATIN DE ARRASTRE MOVIL TELES.2H.IZDA.;236
2933;6132163-1;PATIN DE ARRASTRE MOVIL TELESCOPICA 2HOJAS IZQUIERDA ANTICIPADA;348
2934;6132164-1;PATIN+ENCLAVAMIENTO MECANICO L=560 PARA PCI2 P/90;1731
2935;6132165-1;PATIN+ENCLAVAMIENTO MECANICO L=560 PARA PCD2 P/90;1585
2936;6132167-1;ENCLAVAMIENTO MECANICO L=420 PCI2 P/90;1770
2937;6132168-1;ENCLAVAMIENTO MECANICO L=420 PCD2 P/90;1586
2938;6132172-1;SUPLEMENTO HOJAS GRAN MIRILLA;5
2939;6132182-1;TOPE PLACA PORTARUEDAS COMPACT;1
2940;6132183-1;SOPORTE GUIADOR INFERIOR COMPACT;1
2941;6132184-1;GUIADOR INFERIOR COMPACT;1
2942;6132190-1;MUELLE SEGURIDAD C2H COMPACT;12
2943;6132200-1;RUEDA DE DIAMETRO 65 OPERADOR PM-300;10
2944;6132201-1;RUEDA EXCENTRICA OPERADOR PM-300;2
2945;6132203-1;CONJUNTO TENSOR POLEA REENVIO OPERADOR PM-300;21
2946;6132210-1;CONECTOR DE OPERADOR DE PUERTAS A MOTOR;14
2947;6132210-1;CABLE MOTOR VF5 OPERADOR;11
2948;6132211-1;CONECTOR DE ENCODER OPERADOR DE PUERTAS;16
2950;6132213-1;TOMA A TIERRA MOTOR CONJUNTO VARIADOR L=450;2
2951;6132215-1;PATIN CENTRAL 2HOJAS/TELESCOPICA 2HOJAS IZQUIERDA OPERADOR PM-300;163
2952;6132215-2;PATIN TELESCOPIA 2HOJAS DERECHA OPERADOR PM-300;163
2953;6132218-1;LEVA LATERAL INVERT IZDA.PM-300;2
2954;6132218-2;LEVA LATERAL INVERT DCHA.PM-300;2
2955;6132221-1;CDL IZQUIERDA PM-300;2
2956;6132221-2;CDL DERECHA PM-300;2
2957;6132223-1;CONTACTO ELECTRICO CDL IZDA.PM-300;2
2958;6132223-2;CONTACTO ELECTRICO CDL DERECHA PM-300;2
2959;6132227-1;VARIADOR FERMATOR V3F5 IZDA VCI.VFV5CI0EE;1219
2960;6132232-1;GATILLO PATIN PM-300;1
2961;6132248-1;CDL LT C2H/T2H IZDA.PM-300;2
2962;6132248-2;CDL LT T2H DCHA.PM-300;2
2963;6132250-1;PATIN CENTRAL 2 HOJAS/TELESCÓPICA 2 HOJAS IZQUIERDA OPERADOR PM-300 COMPACT;183
2964;6132250-2;PATIN TELESCÓPICA 2 HOJAS DERECHA OPERADOR PM-300 COMPACT;183
2965;6132267-1;CONJUNTO PATÍN MÓVIL FERMATOR CSK-VFCDCD000-3;471
2966;6132282-1;RUEDA DE DIÁMETRO 65 (FC);9
2967;6132283-1;EMISOR FOTOCELULA (SIN CABLEADO);88
2968;6132283-2;RECEPTOR FOTOCELULA (SIN CABLEADO);88
2969;6132283-1;EMISOR FOTOCELULA (SIN CABLEADO);33
2970;6132284-1;RECEPTOR FOTOCELULA (SIN CABLEADO);24
2971;6132285-1;CABLEADO FOTOCELULA;51
2972;6132285-1;CABLEADO FOTOCELULA;19
2973;6132291-1;GATILLO PATIN PM-300;2
2974;6132291-1;GATILLO PATIN PM-300;2
2975;6132299-1;VARIADOR FERMATOR V3F5 IZDA VCI.VFV5CI0EE;1104
2976;6132299-2;VARIADOR FERMATOR V3F5 DCHA/CENTRAL VCI.VFV5CD0EE;1104
2977;6132300-1;COLGADOR COMPACT;2
2978;6132301-1;GUIADOR INFERIOR CON REGULACIÓN; 
2979;6132318-1;"""""""RUEDA DE DIÁMETRO 65 GARGANTA """"""""V""""""""""""""";15
2980;6132388-1;ENCODER MOTOR;16
2981;6133009-1;8H3F0138#JUEGO DE JUNTAS (KIT RETENES) PISTON TELESC. CT-2-85 OMAR;25
2982;6133022-1;#R83190020#JUEGO DE JUNTAS PISTON Ø140 GMV;25
2983;6133023-1;#R83220010# JUEGO JUNTAS PARA PISTÓN Ø 200;273
2984;6133024-1;#R83603010#JUEGO JUNTAS PISTON TELESCOPIC T70 C2 GMV;25
2985;6133025-1;#R83605010#JUEGO JUNTAS PISTON TELESCOPIC T100 C2 GMV;25
2986;6133026-1;#R83621010#JUEGO JUNTAS PISTON TELESCOPIC T50 C3 GMV;25
2987;6133027-1;#R83622010#JUEGO JUNTAS PISTON TELESCOPIC T63 C3 GMV;25
2988;6133028-1;#R83623010#JUEGO JUNTAS PISTON TELESCOPIC T70 C3 GMV;25
2989;6133029-1;#R83624010#JUEGO JUNTAS PISTON TELESCOPIC T85 C3 GMV;25
2990;6133030-1;#R10750037#GUIADOR POLIURETANO Ø60 GMV;25
2991;6133031-1;#R10750038#GUIADOR POLIURETANO Ø70 GMV;25
2992;6133032-1;#R10750039#GUIADOR POLIURETANO Ø80 GMV;25
2993;6133033-1;#R10750040#GUIADOR POLIURETANO Ø90 GMV;25
2994;6133034-1;#R10750041#GUIADOR POLIURETANO Ø100 GMV;25
2995;6133035-1;#R10750042#GUIADOR POLIURETANO Ø110 GMV;25
2996;6133036-1;#R10750043#GUIADOR POLIURETANO Ø120 GMV;25
2997;6133037-1;#R10750044#GUIADOR POLIURETANO Ø130 GMV;25
2998;6133039-1;#R10750045#GUIADOR POLIURETANO Ø150 GMV;25
2999;6133040-1;#R10750046#GUIADOR POLIURETANO Ø180 GMV;25
3000;6133041-1;#R10750047#GUIADOR POLIURETANO Ø200 GMV;25
3001;6181500-1;JUNTAS VBP REF 072000405 210 L/MIN (OMAR);26
3002;6181501-1;JUNTAS VBP REF 072000406 380 L/MIN (OMAR);42
3003;6181503-1;JUNTAS DE VALVULA P REFERENCIA 0675 300/650 L/MIN MORIS;46
3004;6181504-1;JUNTAS DE VALVULA P REFERENCIA 0188 210/380 L/MIN MORIS;7
3005;6181505-1;JUNTA DE VALVULA P REFERENCIA 0389 15/250 L/MIN MORIS;37
3006;6200306-1;MANOMETRO 100ATM TODAS LAS CENTRALES;70
3007;6200307-1;RUEDA DE SINCRONIZACIÓN REFERENCIA 10.70.70 DIAM. EXT.47 INT. 8;128
3008;6200394-1;ELECTRIC BRIDGE (50/11) 91.03.02;18
3009;6200421-1;#40199015#SETA STOP REF. ZB2BZ101;10
3010;6200564-1;CONECTOR BOTONERA INSPECCIÓN SCHINDLER NAA 462424/38-08;180
3011;6300079-1;#7012009# SENSOR (C-DELCOM) BUCHER;1617
3012;6300080-1;#7015517# VALVULA BAJADA (C-LRV 175< 90 L) BUCHER;798
3013;6300081-1;#7015518# VALVULA BAJADA (C-LRV 175< 250 L) BUCHER;798
3014;6300082-1;#7010151# VALVULA BAJADA(1-LRV 175 < 150 L)BUCHER;884
3015;6300082-2;#7011147# VALVULA BAJADA LRV 175 <90L BUCHER;1059
3016;6300082-3;#7011148# VALVULA BAJADA LRV 175 <250L BUCHER;1059
3017;6300083-1;#7010152# VALVULA BAJADA(1-LRV 175<250 L) BUCHER;884
3018;6300085-1;#7010149# VALVULA BAJADA (1-LRV 350 < 500 L)BUCHER;1027
3019;6300086-1;#7010150# VALVULA BAJADA (1-LRV 700<700 L)BUCHER;2296
3020;6300087-1;#7010131# BOBINA SUBIDA-IMAN BAJADA BUCHER (ENCHUFE NEGRO);706
3021;6300088-1;#7010132# BOBINA BAJADA-IMAN SUBIDA BUCHER (ENCHUFE GRIS);706
3022;6300089-1;#7010143# VALVULA PILOTO BAJADA (175 y350) BUCHER;221
3023;6300091-1;#7010098# CABLE DE 1M DE TERMINAL MANUAL BUCHER;79
3024;6300092-1;#7010138# MANOMETRO BUCHER;222
3025;6300093-1;#7015527# PLACA PILOTO COMPLETA C-LRV 175 BUCHER;3401
3026;6300095-1;#0305273# PLACA PILOTO COMPLETA LRV 175 BUCHER;2424
3027;6300097-1;#0305276# PLACA PILOTO COMPLETA LRV 350 BUCHER;2424
3028;6300099-1;#0305279# PLACA PILOTO COMPLETA LRV 700 BUCHER;3359
3029;6300107-1;#0010796(R250)#PARTE SUPERIOR VALVULA COMPL.LRV 175 BUCHER;1494
3030;6300109-1;#7012406#PARTE SUPERIOR VALVULA COMPL.LRV 350(R350) BUCHER;2025
3031;6300111-1;#7012407#PARTE SUPERIOR VALVULA COMPL.LRV 350(R500) BUCHER;2025
3032;6300113-1;#7012408#PARTE SUPERIOR VALVULA COMPL.LRV 700(R700) BUCHER;3644
3033;6300208-1;#863098# GUARNICION PLEGABLE FS16L - TETONES;249
3034;6300418-1;#7018192# BOMBA MANUAL;816
3035;6300421-1;#7015347# GRUPO COMPL DE VALVULA C-LRV 175R45 BUCHER;4308
3036;6300421-2;#7015100# GRUPO COMPL DE VÁLV. C-LRV 175R90 BUCHER;4308
3037;6300421-3;#7014926# GRUPO COMPL DE VÁLV. C-LRV 175R250 BUCHER;4308
3038;6300936-1;#R80260398#MOTOR CH.GMV 44,1KW 400/690 50HZ 600L/M;6329
3039;6301114-1;#10072667# ALARMA AKO 5404C;414
3040;6301464-1;"""""""#40362022# CONEXION VC 1""""""""1/2G KIT ADAP. ATORN GMV""""""";148
3041;6301588-1;#R80200050#BOBINA ELECT.110/12VCC GMV DOBLE SEP+CO;331
3042;6301630-1;OR-WELLON590 (VP590 BY BELLON) GRABADOR;1468
3043;6302501-1;#4551800170# SOPORTE C/CONT PARA TENSOR GERVALL;97
3044;6303741-1;CERROJO PUERTA SEMIAUTOMATICA DCHA FUPA RIGHT Z-35 CRJ.FUL0SI000 FERMATOR;197
3045;6303742-1;CERROJO PUERTA SEMIAUTOMATICA IZDA FUPA LEFT Z-35 CRJ.FUL0SD000 FERMATOR;197
3046;6502050-1;TORNILLO HEXAGONAL M-4X10 DIN-933-6.8 ZINCADO;5
3047;6502090-1;TORNILLO HEXAGONAL M-6X10 DIN-933-6.8 ZINCADO;5
3048;6502400-1;TORNILLO HEXAGONAL M-6X16 DIN-6921 8.8 BICROMA(DENTADO);5
3049;6502411-1;TORNILLO HEXAGONAL M-8X16 DIN-6921 8. 8 BICROMA(DENTADO);1
3050;6502411-1;TORNILLO HEXAGONAL M-8X16 DIN-6921 8. 8 BICROMA(DENTADO);1
3051;6502434-1;TORNILLO EXAG.C/BRIDA M-8X12 DIN-6921 8.8 BICROMA.;5
3052;6502700-1;TORNILLO APLASTADO M-6X15 DIN-603 ZN.;5
3053;6505011-1;TORNILLO CILIND.M.4X15-DIN.912-5,6 (FH);5
3054;6505020-1;TORNILLO CILIND.M.5X10-DIN.912-5,6 (FH);5
3055;6505022-1;TORNILLO CILIND.M.5X20-DIN.912-5,6 (FH);5
3056;6505061-1;TORNILLO CILIND.M.8X15-DIN.912-5,6 (FH);5
3057;6505241-1;TORNILLO CILIND.M-6X15 DIN-6912;5
3058;6505242-1;TORNILLO CILIND.M-6X20 DIN-6912;5
3059;6506002-1;TORNILLO AVELLANADO M-3X8 DIN-963-5,6 (FH);5
3060;6506170-1;TORNILLO AVELLANADO M-16X35 DIN-963-5,6 (FH);3
3061;6507025-1;TORNILLO CILIND M-4X15 DIN-84-5,6 (FH) ZN.;5
3062;6509002-1;ESPARRAGO ALLEN HEXAGONAL INT.DIN-913 M-5X8;5
3063;6510004-1;TUERCA EXAGONAL M-6 DIN-934-6 ZINCADO;5
3064;6510007-1;TUERCA EXAGONAL M-12 DIN-934-6 ZINCADO;5
3065;6510055-1;TUERCA AUTOBLOCANTE M-24.200 DIN-985 ZN.;3
3066;6510102-1;TUERCA REBAJADA HEXAGONAL M-6 DIN-936 ZN.;5
3067;6510109-1;TUERCA EXAGONAL M-16X1,5 DIN-936 (ZINC.);5
3068;6510249-1;TUERCA EXAGONAL M-4 DIN-6923-8 BT (DENTADO);5
3069;6510250-1;TUERCA EXAGONAL M-6 DIN-6923-8 ZN (DENTADO);5
3070;6510251-1;TUERCA EXAGONAL M-8 DIN-6923-8 ZN (DENTADO);5
3071;6510252-1;TUERCA EXAGONAL M-10 DIN-6923-8 ZN (DENTADO);5
3072;6510401-1;TUERCA ENJAULADA M-8 1,8/3,2 AC.MUELLE;5
3073;6510404-1;TUERCA ENJAUL.M-3 1-1,6 AC.MUELLE (FH);5
3074;6518700;PLACA MEH3 V08.3;717
3075;6520004-1;ARANDELA A 6,4 DIN 125-ST (FH) ZN.;2
3076;6520005-1;ARANDELA A 8,4 DIN 125-ST (FH) ZINCADO;2
3077;6521004-1;ARANDELA MUELLE B 6 DIN-127 PAVONADO;2
3078;6521005-1;ARANDELA MUELLE B 8 DIN-127 PAVONADO;2
3079;6521007-1;ARANDELA MUELLE B 12 DIN-127 PAVONADO;2
3080;6521009-1;ARANDELA MUELLE B 16 DIN-127;4
3081;6521009-1;ARANDELA MUELLE B 16 DIN-127 PAVONADO;1
3082;6524020-1;ARANDELA DE PLATILLO 79/52X2,5;81
3083;6524021-1;ARANDELA DE PLATILLO 68/54X0,8;40
3084;6524022-1;ARANDELA DE PLATILLO 90/70X1;39
3085;6524023-1;ARANDELA DE PLATILLO 40/14,3X0,9;3
3086;6525003-1;ANILLO ELASTICO PARA EJE E-10 DIN-471;2
3087;6525005-1;ANILLO ELASTICO PARA EJE E-12 DIN-471;2
3088;6525007-1;ANILLO ELASTICO PARA EJE E-14 DIN-471;2
3089;6525008-1;ANILLO ELASTICO PARA EJE E-15 DIN-471;2
3090;6525011-1;ANILLO ELASTICO PARA EJE E-18 DIN-471;2
3091;6525022-1;ANILLO ELASTICO PARA EJE E-35 DIN 471;2
3092;6525040-1;ANILLO ELASTICO PARA EJE E-75 DIN-471;4
3093;6525057-1;ANILLO ELASTICO PARA EJE E-40 DIN-471;1
3094;6525121-1;ANILLO ELASTICO PARA INT.I-35 DIN-472;2
3095;6525142-1;ANILLO ELASTICO PARA INT.I.80 DIN.472;1
3096;6526011-1;ARANDELA ABANIC.DENTADA INT.26/16,5 DIN-6798J;2
3097;6529055-1;PASADOR ELASTICO DE 4X36 DIN-1481;2
3098;6530038-1;TACO DE ZAMAK MACHO M-10X100 (FC);4
3099;6530039-1;TACO DE ZAMAK MACHO M-12X120 (FC);7
3100;6531001-1;TORNILLO PARA CHAPA 3,5X9,5 DIN-7504-N;2
3101;6531001-1;TORNILLO PARA CHAPA 3,5X9,5 DIN-7504-N;2
3102;6531003-1;TORNILLO AVELLANADO PARA CHAPA B3,5X9,5 DIN-7982;2
3103;6531025-1;TORNILLO PARA CHAPA B 2,9X9,5 DIN-7976;2
3104;6531146-1;TORNILLO AVELLANADO M3X8 DIN-7991 INOXIDABLE;2
3105;6531149-1;TORNILLO AVELLANADO M3X10 DIN7991 CROMO NEGRO;1
3106;6531156-1;TORNILLO AVELL.M6X10 DIN7991 CROMO NEGRO;2
3107;6531167-1;TORNILLO AVELLANADO M3X10 DIN-7991 INOXIDABLE;2
3108;6531172-1;TORNILLO AVELLANADO M4X16 DIN-7991 INOXIDABLE;1
3109;6531301-1;TORNILLO AUTOROSCANTE 6,3X32 DIN-7504K;2
3110;6531302-1;TORNILLO AUTOROSCANTE 6,3X45 DIN-7504P;1
3111;6531310-1;TORNILLO AUTOROSCANTE C/BRIDA ST6,3X16-C (FC);2
3112;6532006-1;ARANDELA DE SEGURIDAD DE 8 DIN-6799;2
3113;6532008-1;ARANDELA DE SEGURIDAD DE 10 DIN-6799;2
3114;6532009-1;ARANDELA DE SEGURIDAD DE 12 DIN-6799;2
3115;6532010-1;ARANDELA DE SEGURIDAD DE 15 DIN-6799;2
3116;6800548-1;SEMAFORO GRANDE ROJO-VERDE 220V 66-LSRV2-009(FC);427
